Time   Number   
ps   
0           6          12
10           6           8
20           6          12
30           6           8
40           5           5
50           7           9
60           7           9
70           7           9
80           8          10
90           6           6
100           9           9
110           7          11
120           8           8
130           7          11
140           6          10
150           8          10
160           9           9
170           7           7
180           4           8
190           8           8
200           7           9
210           8           8
220           7           7
230           6           8
240           6          12
250           5          11
260           6          10
270           8           8
280           7           9
290           9           9
300           6          10
310           5           7
320           5           9
330           8          10
340           6           8
350           7           9
360           8          10
370           9          11
380           6           8
390           8          10
400           8          10
410           7           9
420           8           8
430           7          11
440           6          12
450           6          10
460           9          11
470           7          11
480           7           9
490           5           9
500           7          11
510           7          11
520           8           8
530           7           7
540           7          11
550           9           9
560           8          10
570           9           9
580           7           7
590           7           9
600           8           8
610           7           9
620           7           7
630           5           9
640           6          10
650           7           7
660           6           8
670           6           6
680           5           7
690           5           7
700           7           7
710           7           7
720           7           7
730           7           9
740           8           8
750           8          10
760           8          10
770           9           9
780           7           9
790           6          10
800           6          10
810           8          10
820           5          13
830           7           9
840           8           8
850           6          12
860           7           9
870           7           9
880           9           9
890           8          10
900           8           8
910           7           9
920           9           9
930           8          10
940           7          11
950           9           9
960           7          11
970           6          10
980           7           7
990           9           9
1000           8          10
1010           7           9
1020           5           9
1030           8          10
1040           6           8
1050           6          10
1060           7          11
1070           6           6
1080           8          10
1090           6          10
1100           7           9
1110           7          11
1120           6          10
1130           7           9
1140           9           9
1150           8          10
1160           8          10
1170           7          11
1180           6          12
1190           4          10
1200           6          12
1210           7          11
1220           6          10
1230           8           8
1240           9           9
1250           8           8
1260           7          11
1270           8          10
1280           9           9
1290           8          10
1300           9           9
1310           6          12
1320           7          11
1330           7           9
1340           9           9
1350           6          12
1360           8          10
1370           7          11
1380           8          10
1390           9           9
1400           7          11
1410           7           9
1420           8          10
1430           9           9
1440           9           9
1450           8           8
1460           8          10
1470           7          11
1480           8          10
1490           8          10
1500           8          10
1510           7          11
1520           6           8
1530           8          10
1540           6           8
1550           6           6
1560           6           8
1570           7           9
1580           8           8
1590           8           8
1600           8           8
1610           6          10
1620           4           8
1630           6           6
1640           7           7
1650           5           7
1660           6           6
1670           6           8
1680           6           6
1690           6           8
1700           7           7
1710           7           7
1720           5           9
1730           6           8
1740           7           7
1750           6           8
1760           6           8
1770           5           7
1780           4           6
1790           3           5
1800           5           7
1810           4           8
1820           6           6
1830           5           5
1840           5           5
1850           6           8
1860           5           9
1870           6           6
1880           8           8
1890           5           9
1900           7           7
1910           8           8
1920           7           7
1930           7           7
1940           6           8
1950           7           9
1960           7           9
1970           4           8
1980           6           6
1990           8           8
2000           6           8
2010           6          12
2020           8           8
2030           7           9
2040           6          10
2050           7           9
2060           7           7
2070           8           8
2080           6          12
2090           9          11
2100           7           9
2110           8           8
2120           7           9
2130           6          10
2140           6           8
2150           6          10
2160           8           8
2170           8           8
2180           6           8
2190           6           8
2200           7           7
2210           7           7
2220           5          11
2230           7           7
2240           6           8
2250           7           7
2260           6           8
2270           4          12
2280           6           8
2290           5           7
2300           7           7
2310           7           9
2320           6          10
2330           7           9
2340           3           7
2350           5           9
2360           6           8
2370           6           8
2380           7           9
2390           7          11
2400           6           8
2410           6           8
2420           5           7
2430           5           7
2440           5           7
2450           5           5
2460           4           6
2470           5           5
2480           6           6
2490           5           5
2500           5           7
2510           6           6
2520           5           5
2530           6           6
2540           6           6
2550           7           7
2560           7           9
2570           6           8
2580           4           6
2590           5           5
2600           6           6
2610           6           6
2620           6           6
2630           5           5
2640           6           8
2650           5           5
2660           6           8
2670           7           7
2680           6           8
2690           6           8
2700           7           7
2710           7           9
2720           7           9
2730           6           8
2740           5           7
2750           7           9
2760           7           7
2770           6          10
2780           5          11
2790           7          11
2800           8          10
2810           5           9
2820           7           9
2830           8          14
2840           7           9
2850           7           7
2860           7           9
2870           7           9
2880           8          10
2890          10          12
2900           9           9
2910           9           9
2920           9           9
2930           9          11
2940           9          11
2950           9           9
2960           9           9
2970           8          14
2980           8          12
2990           6           8
3000           7          11
3010           8           8
3020           8          12
3030           7          13
3040           5          11
3050           5          15
3060           8           8
3070           4          10
3080           5          13
3090           5          11
3100           7          11
3110           5           5
3120           7           9
3130           6           6
3140           4          10
3150           6           6
3160           6           6
3170           6           8
3180           5           5
3190           6           6
3200           5           7
3210           6           6
3220           6           8
3230           4          10
3240           6           8
3250           7           7
3260           5          11
3270           7           7
3280           7           7
3290           6           8
3300           6           8
3310           7           7
3320           6           8
3330           5           9
3340           7           7
3350           6           6
3360           7           7
3370           7           7
3380           6           6
3390           7           7
3400           5           7
3410           6           6
3420           6           6
3430           5           7
3440           6           6
3450           7           7
3460           7           7
3470           7           7
3480           6           8
3490           7           7
3500           7           7
3510           6           6
3520           6           8
3530           7           7
3540           6          10
3550           7           7
3560           7           7
3570           7           7
3580           6           8
3590           7           7
3600           6           8
3610           7           7
3620           7          11
3630           7          11
3640           6           8
3650           7           7
3660           5           9
3670           7           7
3680           6           8
3690           6           8
3700           7           7
3710           7           7
3720           7           7
3730           7           9
3740           5           9
3750           5           9
3760           7           9
3770           5          13
3780           6          10
3790           7           7
3800           6          10
3810           7           9
3820           7           7
3830           6          10
3840           6           8
3850           6          12
3860           8          10
3870           7          11
3880           8          10
3890           7          13
3900           8           8
3910           6          10
3920           6           6
3930           6           8
3940           6           6
3950           7           9
3960           7           9
3970           6           6
3980           7           9
3990           5           9
4000           7           7
4010           7           9
4020           7           7
4030           7           7
4040           6           8
4050           7           7
4060           7           7
4070           7           9
4080           7           9
4090           8           8
4100           6           8
4110           6          10
4120           7           7
4130           6           8
4140           7           9
4150           6           6
4160           7           7
4170           8           8
4180           7           9
4190           6           8
4200           7           7
4210           6           8
4220           7           7
4230           7           7
4240           7           7
4250           7           7
4260           6           6
4270           7           7
4280           6           6
4290           7           7
4300           7           7
4310           7           7
4320           7           7
4330           6           8
4340           3           9
4350           6           8
4360           7           7
4370           6          10
4380           7           7
4390           6           8
4400           6           8
4410           6           8
4420           7           7
4430           7           7
4440           7           7
4450           7           9
4460           7           7
4470           7           7
4480           7           7
4490           6           8
4500           6           6
4510           6           6
4520           6           6
4530           6           6
4540           6           6
4550           6           8
4560           4           8
4570           5           9
4580           6           6
4590           6           8
4600           6           8
4610           6           6
4620           6           6
4630           6          10
4640           6           8
4650           7           9
4660           5           9
4670           7           7
4680           7           9
4690           7          11
4700           7           9
4710           7           9
4720           8           8
4730           7           7
4740           7           7
4750           7           7
4760           7           7
4770           6           8
4780           5           7
4790           7           7
4800           5           5
4810           7           7
4820           7           9
4830           7           7
4840           7           9
4850           7           9
4860           7           7
4870           7           9
4880           7           7
4890           7           9
4900           6           8
4910           7           9
4920           7           9
4930           8          10
4940           6          10
4950           8           8
4960           7          11
4970           9          11
4980           7           9
4990           8          10
5000           8           8
5010           7           7
5020           7          11
5030           8           8
5040           9           9
5050           8          10
5060           7           9
5070           8           8
5080           7           9
5090           7           9
5100           7           9
5110           7           9
5120           7           9
5130           7           9
5140           7           9
5150           7          11
5160           7           9
5170           8           8
5180           7           9
5190           7           9
5200           7           9
5210           8           8
5220           6           8
5230           6           6
5240           6           8
5250           7           7
5260           7           7
5270           6           8
5280           7           9
5290           7           7
5300           7           7
5310           6           6
5320           7           7
5330           7           7
5340           6           8
5350           7           7
5360           6           6
5370           7           9
5380           8           8
5390           8           8
5400           8          10
5410           7           9
5420           8           8
5430           5          11
5440           8           8
5450           8           8
5460           8           8
5470           6          10
5480           7           9
5490           8           8
5500           8          10
5510           6          14
5520           9          13
5530           8          10
5540           7           9
5550           8          10
5560           9           9
5570           7          11
5580           9           9
5590           9          13
5600           9          11
5610           7           9
5620           6          14
5630           8          12
5640           9           9
5650           9          11
5660           9          11
5670           9          11
5680           8          12
5690           9          11
5700           8          10
5710           8          10
5720           9           9
5730           8          12
5740           9          11
5750           7          11
5760           9           9
5770           8          12
5780           7          11
5790           9           9
5800           8           8
5810           8           8
5820           8           8
5830           9           9
5840           7           9
5850           8          12
5860           6          12
5870           5          13
5880           8          10
5890           7           7
5900           6          10
5910           7          11
5920           7           9
5930           6           8
5940           9           9
5950           6           8
5960           7          13
5970           7           9
5980           5          11
5990           7          11
6000           6          12
6010           6           8
6020           5           7
6030           5          11
6040           6          10
6050           6           8
6060           6           8
6070           8          12
6080           8          12
6090           6           8
6100           7           9
6110           7           9
6120           8          10
6130           8          10
6140           6          10
6150           5           5
6160           6           8
6170           9          11
6180           7          11
6190           7           9
6200           6          10
6210           6          10
6220           6           6
6230           8           8
6240           8           8
6250           7          11
6260           9           9
6270           8          10
6280           7           9
6290           8           8
6300           8          12
6310          10          10
6320           8          10
6330           7           7
6340           8          14
6350           7          13
6360           7           9
6370           9          11
6380           8           8
6390           9           9
6400           8           8
6410           9          11
6420           6          14
6430           7           7
6440           7           7
6450           7           7
6460           7           9
6470           8           8
6480           5           7
6490           6           6
6500           6           8
6510           7          11
6520           7          11
6530           6           8
6540           7           7
6550           7          11
6560           6           8
6570           7           7
6580           5           7
6590           6           8
6600           7           7
6610           7           9
6620           8           8
6630           7           9
6640           7           7
6650           7           7
6660           8          10
6670           6          10
6680           9           9
6690           9           9
6700           8          10
6710           9           9
6720           8          10
6730           8          12
6740           8          10
6750           7           7
6760           8           8
6770           8           8
6780           8          10
6790           8          10
6800           9          15
6810           9           9
6820           7          11
6830           7           9
6840           9          11
6850           8           8
6860           7          11
6870           8          14
6880           9           9
6890           8           8
6900           9           9
6910           7           9
6920           7           7
6930           7          11
6940           8           8
6950           6          10
6960           7          11
6970           6          12
6980           7          13
6990          10          10
7000           8          10
7010           9           9
7020           7          11
7030           9           9
7040           8          10
7050           8          10
7060           8          10
7070           9           9
7080           8           8
7090           9           9
7100           8          14
7110           8           8
7120           9           9
7130           9          11
7140           8          12
7150           6          12
7160           8          10
7170           7          15
7180           9          13
7190           7          15
7200           9          11
7210           9          11
7220          10          12
7230           8          12
7240          10          12
7250           9          13
7260           9          11
7270          10          12
7280           8          12
7290           8           8
7300           9          11
7310          10          10
7320           8          12
7330           8          12
7340           9           9
7350          11          11
7360          10          14
7370           9          13
7380          10          12
7390           8          12
7400           9          13
7410           9          13
7420           7          13
7430           9          11
7440           9          13
7450           7          11
7460          10          12
7470          10          10
7480           8          12
7490           8          10
7500           9          13
7510           8          10
7520           9          15
7530           9          15
7540          10          12
7550          10          10
7560           9          13
7570          11          13
7580          10          14
7590           9          11
7600          11          13
7610          11          15
7620           9          11
7630          10          14
7640           9          13
7650           9          15
7660           8          14
7670          10          10
7680          10          12
7690          10          12
7700           9          11
7710          11          13
7720           9          17
7730          11          13
7740          11          15
7750          10          14
7760          11          13
7770           8          14
7780           7          11
7790           8          12
7800           7          15
7810          11          13
7820           8          12
7830           8          12
7840           8          14
7850           8          10
7860           7          13
7870           6          16
7880           9          15
7890          10          10
7900           8          12
7910           6          12
7920           8          12
7930          10          14
7940           7           9
7950           9          15
7960          10          12
7970           8          12
7980          11          11
7990           9          11
8000           8          14
8010          10          12
8020          10          14
8030          10          14
8040          10          14
8050          11          11
8060          10          12
8070           9          13
8080          10          14
8090           9          13
8100          10          10
8110          10          12
8120           9          15
8130          10          14
8140           9          13
8150           6          12
8160          12          12
8170           8          12
8180          10          14
8190           7          11
8200           9          11
8210          10          12
8220          10          14
8230          11          11
8240           9          11
8250          10          12
8260           8          10
8270          10          12
8280           7          11
8290           7           9
8300           9           9
8310          10          12
8320          10          14
8330          11          13
8340          11          13
8350          11          13
8360          10          16
8370          10          12
8380          11          13
8390          10          12
8400           9          11
8410          10          12
8420           8          14
8430          11          13
8440          12          12
8450           9          11
8460          11          11
8470          11          11
8480           8          14
8490           8          14
8500          10          12
8510          10          12
8520           9           9
8530           9          11
8540          10          12
8550          11          11
8560          11          11
8570          11          15
8580          10          14
8590          12          12
8600           9          17
8610          13          13
8620          11          15
8630           9          19
8640           9          15
8650          12          14
8660          12          16
8670          11          15
8680          12          14
8690          10          14
8700          12          12
8710           8          14
8720          12          12
8730          12          12
8740          11          15
8750          11          15
8760          13          15
8770          12          12
8780          10          16
8790           9          15
8800          12          14
8810           8          16
8820           9          11
8830          10          10
8840           9          13
8850           7          13
8860           9          15
8870           7          15
8880           9          13
8890          10          14
8900          11          15
8910          10          10
8920           8          10
8930           9          15
8940           8          12
8950          11          13
8960          10          10
8970          10          10
8980          10          14
8990          10          12
9000          10          16
9010          11          13
9020           8          16
9030          11          13
9040           9          13
9050          10          14
9060          11          11
9070          11          11
9080          10          12
9090          11          11
9100          11          13
9110           8          14
9120          10          12
9130          11          11
9140           7          15
9150           8          12
9160          10          14
9170          10          10
9180          10          12
9190          10          10
9200          10          14
9210          10          10
9220           9           9
9230          10          10
9240           9          11
9250           8          10
9260           9          11
9270           9          11
9280          10          12
9290           8          12
9300           9          11
9310          10          10
9320          10          10
9330          10          12
9340           9          11
9350          10          10
9360          10          10
9370          11          13
9380           9          11
9390          12          16
9400          11          11
9410           8          16
9420           9          17
9430          11          11
9440           9          11
9450          11          15
9460           7          13
9470           9          15
9480          11          11
9490          10          14
9500          11          13
9510          10          12
9520           9          11
9530           9          11
9540           8          14
9550           9          11
9560          10          10
9570           9          11
9580           8          12
9590           6          12
9600           8          10
9610          11          13
9620           9          11
9630           9          11
9640           9          13
9650           8          12
9660          11          15
9670          10          14
9680          10          16
9690          11          13
9700          10          12
9710          11          13
9720          11          11
9730          11          11
9740          10          12
9750          10          16
9760          11          11
9770          10          10
9780          10          10
9790           6          14
9800          10          14
9810           9          17
9820          11          11
9830           9          17
9840          11          13
9850           9          13
9860          11          11
9870          11          13
9880          11          11
9890          12          12
9900           8          12
9910          10          12
9920          10          16
9930          11          13
9940          12          18
9950          10          16
9960          10          16
9970           9           9
9980          10          10
9990          11          15
10000           9          11
