Time   Number   
ps   
0           6          12
10           8          10
20           4          12
30           8          12
40           7           9
50           7          11
60           7           7
70           6           6
80           4          10
90           8           8
100           9           9
110           9           9
120           7          11
130           5           7
140           7           9
150           9           9
160           8          14
170           7          13
180           3          11
190           8          12
200           9           9
210           9          13
220           8          10
230           8          10
240           8          14
250           8          10
260           7          11
270           6          10
280           6          12
290           5           9
300           6          10
310           8           8
320           4           8
330           9          11
340           8          14
350           7           9
360           9          13
370           9           9
380           8          12
390           7           7
400           6          12
410           7          13
420           9           9
430           6          10
440           9          11
450           7          11
460           6          12
470           6          10
480           9          11
490           7          11
500           5           7
510           9           9
520          10          12
530           8          12
540          10          14
550           8          10
560           7           9
570           8          12
580           9          13
590           7           9
600           8          10
610           9          11
620           7          11
630           9          13
640          11          11
650           8          10
660           8          12
670           6          16
680           9          13
690           9          13
700           7          13
710           8          10
720           9          13
730           9          15
740          11          11
750           9          13
760          10          14
770           8          16
780           7          13
790          10          10
800           9          13
810           9           9
820           7          11
830          11          11
840           8          10
850           7          11
860           7          13
870           7          13
880           7           9
890           7           7
900           7           9
910           6           8
920           5           7
930           9          13
940           9           9
950           9          13
960          10          12
970           6          10
980           6          10
990           9          13
1000           9          11
1010           6          12
1020          10          10
1030          10          12
1040           6          10
1050           8          12
1060           7          13
1070           8          12
1080           8           8
1090           8           8
1100           9           9
1110           7          11
1120           8          12
1130          10          14
1140          11          11
1150           8           8
1160           9           9
1170           8          10
1180           8          12
1190          10          12
1200           9          17
1210           8          14
1220           8          12
1230           6           8
1240           8          10
1250          10          12
1260           5           7
1270           6           6
1280           5           7
1290           6          12
1300           5           5
1310           8          12
1320           5           9
1330           8          14
1340           7          15
1350           3           7
1360           6           8
1370           4           8
1380           5          11
1390           6           8
1400           7           7
1410           7          11
1420           6          12
1430           7          11
1440           9           9
1450           7           9
1460          10          10
1470           9          13
1480           8          10
1490          12          12
1500           9          11
1510           9          11
1520           8          12
1530           7          11
1540           9           9
1550           7           9
1560           8          12
1570           8          10
1580           8          10
1590           9          11
1600           8          12
1610           7          13
1620          11          13
1630           8          10
1640           6           8
1650           6           6
1660           8          10
1670           8           8
1680          10          14
1690           8          12
1700           7           9
1710           8          14
1720           8          12
1730           7           9
1740           6          12
1750           6           6
1760           6           8
1770          12          14
1780           7          15
1790          12          14
1800          11          15
1810           7          11
1820           8          10
1830           8          14
1840           7          11
1850           6          12
1860           7          11
1870           9          11
1880           5           9
1890          10          14
1900          10          14
1910           9          13
1920           9           9
1930          10          12
1940           8          12
1950          11          15
1960          11          15
1970           9          11
1980           9          13
1990           8          12
2000           9           9
2010           9           9
2020          10          14
2030          11          13
2040          12          16
2050          12          12
2060           9          15
2070          10          12
2080          11          17
2090          15          15
2100          13          15
2110          11          15
2120          12          16
2130          12          18
2140          13          17
2150          13          15
2160          13          15
2170          12          14
2180          15          17
2190          12          14
2200          10          14
2210          10          16
2220          16          16
2230          14          14
2240          13          13
2250          11          11
2260          12          12
2270           9          19
2280           9          17
2290          13          15
2300          13          17
2310          13          15
2320          11          15
2330          10          10
2340          11          15
2350          12          18
2360          12          14
2370          10          18
2380           8           8
2390           9          11
2400           8          12
2410          10          16
2420           8          12
2430          10          18
2440           7          15
2450           8          16
2460          11          15
2470           9          13
2480          12          18
2490          15          19
2500          11          21
2510          12          18
2520          12          16
2530          13          17
2540          12          14
2550          13          17
