Time   Number   
ps   
0          10          20
10          12          14
20          12          18
30          10          16
40          16          20
50          16          22
60          14          18
70          15          19
80          15          17
90          15          21
100          13          21
110          19          21
120          20          24
130          21          23
140          17          23
150          18          22
160          19          21
170          21          23
180          20          24
190          16          22
200          17          21
210          22          22
220          13          19
230          17          21
240          19          23
250          20          26
260          18          20
270          14          16
280          17          21
290          17          21
300          17          19
310          16          18
320          16          22
330          16          20
340          19          23
350          17          21
360          16          22
370          15          19
380          15          21
390          16          22
400          18          20
410          19          19
420          17          17
430          17          17
440          19          23
450          19          19
460          18          24
470          22          26
480          20          22
490          20          22
500          19          27
510          18          24
520          21          23
530          19          23
540          17          23
550          20          26
560          20          20
570          21          23
580          20          24
590          23          23
600          19          23
610          24          24
620          18          28
630          16          24
640          20          22
650          20          28
660          19          27
670          21          27
680          19          27
690          19          29
700          19          27
710          20          28
720          21          21
730          19          27
740          21          25
750          17          25
760          16          30
770          18          20
780          16          20
790          17          23
800          20          24
810          16          26
820          19          21
830          21          23
840          21          23
850          20          28
860          19          19
870          17          23
880          17          17
890          18          24
900          18          20
910          19          21
920          20          24
930          16          26
940          20          24
950          20          20
960          20          24
970          22          24
980          19          23
990          22          26
1000          20          28
1010          20          26
1020          19          23
1030          20          26
1040          23          25
1050          20          24
1060          20          28
1070          24          26
1080          21          29
1090          22          26
1100          21          27
1110          20          26
1120          22          26
1130          18          24
1140          20          26
1150          20          24
1160          20          30
1170          20          26
1180          21          25
1190          23          25
1200          21          23
1210          22          26
1220          22          28
1230          22          26
1240          22          24
1250          20          28
1260          21          25
1270          21          31
1280          20          26
1290          22          30
1300          21          27
1310          18          24
1320          21          31
1330          19          29
1340          20          22
1350          22          26
1360          19          25
1370          20          22
1380          22          24
1390          23          27
1400          18          26
1410          19          23
1420          16          18
1430          20          22
1440          16          18
1450          15          21
1460          20          24
1470          21          25
1480          23          25
1490          14          28
1500          15          25
1510          21          21
1520          21          25
1530          19          27
1540          19          25
1550          21          25
1560          24          26
1570          21          27
1580          19          25
1590          15          25
1600          15          25
1610          19          23
1620          21          25
1630          18          22
1640          20          24
1650          19          21
1660          17          21
1670          19          25
1680          17          21
1690          19          23
1700          20          28
1710          24          26
1720          22          26
1730          24          26
1740          21          27
1750          22          24
1760          24          26
1770          21          27
1780          21          27
1790          22          28
1800          22          28
1810          20          26
1820          23          31
1830          22          26
1840          22          26
1850          22          24
1860          21          27
1870          22          28
1880          18          20
1890          18          20
1900          17          21
1910          17          19
1920          14          18
1930          15          21
1940          16          20
1950          15          17
1960          13          17
1970          16          22
1980          14          14
1990          14          18
2000          12          20
2010          16          18
2020          16          18
2030          13          23
2040          17          21
2050          15          19
2060          15          17
2070          15          17
2080          14          18
2090          15          15
2100          15          17
2110          16          16
2120          14          14
2130          16          20
2140          13          15
2150          14          18
2160          13          17
2170          14          20
2180          15          15
2190          16          20
2200          14          18
2210          15          23
2220          14          22
2230          12          16
2240          17          25
2250          15          19
2260          13          17
2270          14          16
2280          14          18
2290          14          20
2300          14          22
2310          15          23
2320          17          21
2330          15          17
2340          15          19
2350          14          16
2360          16          20
2370          16          16
2380          14          16
2390          15          17
2400          13          15
2410          12          16
2420          15          17
2430          12          18
2440          13          19
2450          16          20
2460          17          21
2470          17          19
2480          17          17
2490          19          21
2500          16          20
2510          17          19
2520          15          21
2530          17          19
2540          17          19
2550          19          19
2560          14          18
2570          17          23
2580          15          17
2590          16          18
2600          17          17
2610          18          22
2620          16          20
2630          16          22
2640          17          23
2650          15          23
2660          19          19
2670          16          20
2680          15          17
2690          16          18
2700          16          18
2710          18          20
2720          16          20
2730          18          22
2740          17          21
2750          19          21
2760          19          25
2770          17          21
2780          15          17
2790          16          16
2800          17          21
2810          18          22
2820          21          23
2830          17          19
2840          20          22
2850          19          23
2860          21          29
2870          21          21
2880          20          26
2890          17          31
2900          20          30
2910          21          23
2920          19          25
2930          17          23
2940          20          26
2950          21          27
2960          15          25
2970          18          24
2980          20          22
2990          18          24
3000          20          28
3010          20          26
3020          17          23
3030          21          23
3040          22          30
3050          21          23
3060          19          25
3070          18          28
3080          22          22
3090          19          19
3100          18          22
3110          20          24
3120          20          24
3130          20          24
3140          17          25
3150          15          19
3160          14          16
3170          16          24
3180          19          19
3190          18          22
3200          16          16
3210          17          23
3220          19          23
3230          16          22
3240          17          19
3250          16          18
3260          18          24
3270          20          24
3280          18          22
3290          19          21
3300          16          28
3310          21          23
3320          18          24
3330          20          22
3340          19          21
3350          17          21
3360          16          22
3370          18          20
3380          18          24
3390          19          21
3400          18          22
3410          18          26
3420          18          26
3430          18          24
3440          17          23
3450          17          23
3460          15          23
3470          17          21
3480          18          20
3490          19          23
3500          15          19
3510          19          23
3520          19          27
3530          18          22
3540          18          24
3550          20          20
3560          13          23
3570          18          18
3580          13          17
3590          12          14
3600          14          18
3610          15          19
3620          14          18
3630          13          17
3640          16          22
3650          15          17
3660          15          19
3670          18          20
3680          17          19
3690          17          19
3700          19          19
