Time   Number   
ps   
0           2           4
10           8           8
20           8           8
30           9          11
40          10          18
50          13          17
60          12          16
70          12          16
80          13          15
90          16          18
100          11          17
110          14          16
120          13          17
130          13          17
140          12          14
150          12          16
160          12          18
170          12          14
180          10          12
190          11          15
200          14          22
210          17          17
220          16          24
230          17          21
240          14          20
250          18          24
260          20          22
270          13          19
280          13          21
290          14          18
300          15          17
310          14          18
320          15          21
330          17          21
340          13          23
350          17          23
360          17          27
370          20          24
380          14          24
390          17          21
400          18          24
410          16          22
420          15          19
430          17          21
440          15          19
450          13          19
460          14          20
470          17          21
480          15          21
490          14          20
500          13          19
510          15          17
520          15          23
530          15          23
540          12          18
550          16          16
560          13          15
570          14          18
580          14          16
590          14          20
600          17          21
610          16          20
620          14          24
630          15          19
640          18          20
650          14          16
660          15          19
670          10          22
680          10          16
690          10          12
700          15          17
710          17          21
720          15          17
730          10          14
740          13          17
750          15          15
760          10          14
770          13          15
780          13          15
790          12          14
800          13          13
810          14          14
820          11          13
830          12          14
840          13          13
850          12          16
860          12          14
870          14          16
880          13          15
890          12          16
900          12          16
910          12          16
920          15          17
930          13          15
940          14          14
950          12          12
960          13          17
970          14          16
980          11          13
990          14          14
1000          10          16
1010          13          19
1020          11          15
1030          15          17
1040          11          11
1050          13          13
1060          12          12
1070          16          16
1080          10          12
1090          10          14
1100          13          17
1110          10          16
1120          15          15
1130          15          15
1140          10          14
1150          10          18
1160          15          19
1170          16          20
1180          12          18
1190          17          19
1200          15          19
1210          16          18
1220          14          18
1230          16          24
1240          19          19
1250          15          19
1260          15          19
1270          12          18
1280          16          16
1290          12          14
1300          13          13
1310          15          19
1320          17          21
1330          16          16
1340          14          14
1350          14          16
1360          14          16
1370          14          16
1380          15          17
1390          15          15
1400          16          16
1410          13          15
1420          16          16
1430          16          20
1440          14          18
1450          16          18
1460          15          15
1470          14          22
1480          16          22
1490          12          18
1500          15          19
1510          15          19
1520          12          20
1530          17          21
1540          16          20
1550          17          19
1560          18          24
1570          16          20
1580          14          16
1590          18          22
1600          14          16
1610          18          20
1620          15          21
1630          17          19
1640          16          18
1650          17          17
1660          16          18
1670          16          18
1680          16          20
1690          18          22
1700          15          17
1710          15          21
1720          20          24
