Time   Number   
ps   
0           4           8
10           6           8
20           7           9
30           7          11
40           8          12
50          10          12
60           9          11
70           8          10
80           7           7
90           8          10
100          10          10
110           9           9
120           9          11
130          10          14
140          11          11
150          10          10
160           9          13
170          11          13
180           9           9
190           8          12
200           9           9
210          11          11
220           9          11
230          10          12
240           8           8
250          11          11
260           9          15
270          10          10
280          11          13
290           7           9
300           6          16
310           8          12
320           6          12
330           8          10
340           6          16
350           8          10
360           7           9
370           7          11
380          11          11
390           9          13
400          10          12
410          10          10
420           9          13
430           8          12
440          10          12
450          10          12
460           8           8
470           8          12
480           8          14
490           6          10
500           8          14
510           9          13
520           9          13
530          10          12
540           9          13
550           9          15
560           9          13
570           8          12
580          11          11
590           7          13
600          11          13
610           8          10
620          11          13
630          10          10
640          10          12
650          10          10
660          10          12
670          10          14
680           9          13
690          10          10
700          10          10
710          10          12
720          10          10
730          10          10
740          11          13
750           8          12
760           8          12
770           8          16
780          13          13
790          11          13
800          11          11
810          11          13
820          11          15
830           9          11
840          10          14
850           9          17
860           9          15
870          10          14
880          11          13
890           8          12
900          11          11
910           8          14
920           7          11
930           8          14
940          10          10
950          10          12
960          11          11
970          11          11
980           9          13
990          11          11
1000           8          12
1010          10          16
1020          12          14
1030           9          11
1040           8           8
1050          10          10
1060           7           9
1070          10          12
1080          10          10
1090           9           9
1100           8          12
1110           8          12
1120           9          11
1130           8          12
1140           9           9
1150           7          11
1160           6          14
1170           8          12
1180           7          11
1190           6          14
1200           8          10
1210           9           9
1220           6           8
1230           7          11
1240           8          10
1250           8          12
1260           9           9
1270          10          10
1280           6          14
1290           7          11
1300           8          14
1310           9           9
1320           9          11
1330          10          12
1340           8          10
1350           9          15
1360           9          11
1370          10          12
1380           7          17
1390          10          18
1400           7          13
1410          11          17
1420           9          15
1430          14          20
1440          13          17
1450          11          13
1460          10          16
1470          11          15
1480          12          18
1490          13          15
1500          12          16
1510          11          17
1520          14          16
1530          14          14
1540          12          14
1550          13          15
1560          12          20
1570          13          13
1580          14          14
1590          14          16
1600          14          18
1610          10          20
1620           8          24
1630          15          17
1640          13          15
1650          16          18
1660          12          14
1670          15          15
1680          11          15
1690          14          14
1700          10          16
1710          11          17
1720          12          20
1730          12          16
1740           9          13
1750          12          18
1760          13          17
1770          10          14
1780          11          13
1790          11          15
1800          11          13
1810           8          18
1820          10          14
1830          10          12
1840           9          13
1850          10          12
1860          11          13
1870           8          18
1880          10          12
1890          12          12
1900          10          14
1910           8          18
1920          13          15
1930          11          11
1940          11          11
1950          11          13
1960           9           9
1970          12          14
1980           9          13
1990          11          15
2000           9          11
2010           9          15
2020          10          12
2030          10          10
2040          11          13
2050          12          16
2060           7          15
2070          11          15
2080           9          15
2090          10          14
2100           7          17
2110          11          15
2120           7          15
2130          10          10
2140          11          13
2150          10          12
2160           9          11
2170          12          14
2180           9          13
2190           8          14
2200          10          12
2210           9          15
2220           9          11
2230           8          16
2240          11          15
2250          12          12
2260           9          15
2270          10          12
2280          12          18
2290          10          10
2300          10          16
2310           8          10
2320           8          12
2330          13          15
2340          11          15
2350          12          14
2360          14          14
2370          13          13
2380          10          14
2390          11          13
2400          12          12
2410          13          15
2420          11          15
2430          12          14
2440          11          15
2450           9          13
2460           9          13
2470          11          13
2480          11          11
2490          10          16
2500          12          18
2510          12          18
2520          11          11
2530          10          12
2540          14          16
2550          12          16
2560          12          20
2570          12          14
2580          13          19
2590          13          15
2600          13          19
2610          14          14
2620          13          17
2630          14          16
2640          14          18
2650          12          16
2660          13          13
2670          14          18
2680          12          12
2690          11          13
2700          12          12
2710          11          17
2720          11          15
2730          11          15
2740           9          15
2750           9          11
2760          11          15
2770          11          11
2780          11          11
2790           9          13
2800          10          14
2810           9          15
2820           9          15
2830          11          13
2840          12          12
2850          10          14
2860          10          14
2870          11          11
2880          11          13
2890          11          13
2900           9          13
2910          10          12
2920          10          12
2930          10          12
2940          10          12
2950          10          12
2960          11          11
2970          12          12
2980          11          15
2990          11          11
3000          10          12
3010          10          12
3020           9          13
3030          10          12
3040          10          10
3050           9          15
3060          11          13
3070          10          10
3080          10          14
3090          10          12
3100           8          10
3110           9          11
3120           9          11
3130           9          11
3140           7           9
3150           9          13
3160          10          10
3170          10          12
3180          11          13
3190          11          13
3200          12          14
3210          11          15
3220           8          16
3230          12          12
3240          11          13
3250          13          15
3260          12          16
3270          11          15
3280          13          13
3290          13          15
3300          12          16
3310          11          11
3320          10          14
3330           9          13
3340          11          11
3350           9           9
3360           8          12
3370           7           9
3380          10          10
3390           9          11
3400           8          10
3410           9          11
3420           9           9
3430           9           9
3440          10          10
3450           9          11
3460           9          13
3470          10          12
3480          10          12
3490          12          12
3500           9          15
3510          12          12
3520           9          13
3530          10          12
3540           9          17
3550           9          15
3560          11          11
3570          12          16
3580          13          13
3590          11          15
3600          11          15
3610          10          12
3620          13          15
3630          12          12
3640          11          15
3650          14          16
3660          14          14
3670          14          18
3680          14          16
3690          15          15
3700          13          13
3710          12          16
3720          15          17
3730          10          10
3740          14          18
3750          13          13
3760          10          16
3770          11          13
3780           9          13
3790          13          13
3800          11          17
3810          12          14
3820          10          16
3830          14          14
3840          13          13
3850          12          16
3860          13          19
3870          14          18
3880          13          17
3890          11          19
3900          14          14
3910          14          14
3920          15          17
3930          14          16
3940          12          14
3950          14          16
3960          16          16
3970          17          17
3980          14          18
3990          14          20
4000          13          17
4010          12          14
4020          15          15
4030          14          16
4040          13          15
4050          12          16
4060          13          15
4070          11          13
4080          14          14
4090          15          17
4100          16          16
4110          16          16
4120          15          17
4130          13          17
4140          13          15
4150          14          16
4160          15          19
4170          15          15
4180          14          18
4190          17          17
4200          14          18
4210          14          18
4220          17          17
4230          16          16
4240          18          18
4250          15          15
4260          14          18
4270          17          17
4280          14          16
4290          15          17
4300          13          17
4310          12          16
4320          14          16
4330          14          14
4340          11          19
4350          14          14
4360          12          16
4370          13          15
4380          11          13
4390          13          13
4400          12          14
4410          10          16
4420          12          16
4430          10          12
4440          13          15
4450          11          15
4460          12          14
4470          12          12
4480          10          10
4490          12          12
4500          10          14
4510          11          15
4520          12          14
4530          13          13
4540           9          11
4550          10          16
4560          13          15
4570          14          16
4580          11          11
4590          10          16
4600          11          15
4610          13          13
4620          10          10
4630          11          13
4640           8           8
4650          11          13
4660          10          10
4670          11          15
4680          13          13
4690          12          12
4700          11          13
4710          11          11
4720          11          13
4730           8          10
4740          11          13
4750          12          14
4760          13          13
4770          10          14
4780          13          13
4790          13          13
4800          11          13
4810          11          13
4820          12          12
4830          11          13
4840          10          10
4850          12          14
4860          13          13
4870          15          15
4880          12          16
4890          14          16
4900          15          15
4910          13          17
4920          14          16
4930          13          15
4940          14          18
4950          14          18
4960          13          21
4970          14          14
4980          14          16
4990          14          16
5000          14          20
5010          14          16
5020          17          17
5030          16          20
5040          13          19
5050          13          13
5060          12          16
5070          16          16
5080          15          15
5090          13          15
5100          13          15
5110          11          13
5120           9          21
5130          13          19
5140          16          18
5150          13          17
5160          12          22
5170          14          20
5180          14          16
5190          13          17
5200          15          15
5210          14          16
5220          13          15
5230          14          16
5240          12          16
5250          16          20
5260          15          23
5270          16          22
5280          14          26
5290          16          18
5300          15          17
5310          16          22
5320          14          18
5330          16          18
5340          16          18
5350          15          17
5360          15          21
5370          15          19
5380          15          21
5390          15          21
5400          15          19
5410          16          16
5420          16          22
5430          18          20
5440          15          17
5450          16          16
5460          17          17
5470          15          17
5480          15          17
5490          18          20
5500          15          19
5510          15          15
5520          16          20
5530          18          18
5540          17          21
5550          17          19
5560          17          19
5570          17          21
5580          17          19
5590          16          18
5600          15          23
5610          18          20
5620          17          17
5630          13          19
5640          16          18
5650          15          17
5660          16          18
5670          13          25
5680          16          18
5690          14          16
5700          12          18
5710          14          14
5720          16          16
5730          13          13
5740          15          17
5750          16          16
5760          16          16
5770          12          18
5780          15          17
5790          13          17
5800          16          16
5810          16          16
5820          17          19
5830          14          18
5840          14          14
5850          13          15
5860          14          18
5870          15          15
5880          16          18
5890          16          16
5900          15          15
5910          16          18
